iter	Logloss
0	0.6928721619
1	0.6918562317
2	0.6910415649
3	0.6905036163
4	0.6896780396
5	0.6890307617
6	0.6883107758
7	0.6878272247
8	0.6870024872
9	0.6856179047
10	0.6850398254
11	0.6841314697
12	0.6833309174
13	0.6827285004
14	0.6818292236
15	0.6810168457
16	0.6805122375
17	0.6794765472
18	0.6785948944
19	0.6779773712
20	0.677167511
21	0.6762548828
22	0.6754490662
23	0.674474411
24	0.6738002014
25	0.6733752441
26	0.6725936127
27	0.6718822479
28	0.6712457275
29	0.670532074
30	0.6699430084
31	0.6689862061
32	0.6685006714
33	0.6677679443
34	0.6669125366
35	0.6662699127
36	0.6659342194
37	0.6650242615
38	0.6643840027
39	0.6636105347
40	0.6626423645
41	0.662036972
42	0.6614778137
43	0.660758667
44	0.6602082825
45	0.6601400757
46	0.65960495
47	0.6587798309
48	0.658243866
49	0.6574809265
50	0.6569338989
51	0.6564349365
52	0.6556513214
53	0.6553076172
54	0.6545754242
55	0.6540236664
56	0.6531264496
57	0.6527875519
58	0.6522362518
59	0.6512878418
60	0.6508135223
61	0.6504865265
62	0.6494530487
63	0.6489060974
64	0.6479475403
65	0.647273407
66	0.6466589355
67	0.6459217072
68	0.6452999878
69	0.644498291
70	0.6440716553
71	0.6437091827
72	0.6431993866
73	0.64233078
74	0.6415756226
75	0.6405918884
76	0.6399332809
77	0.6389195251
78	0.6381248093
79	0.6375802612
80	0.6369765472
81	0.6364598083
82	0.636137619
83	0.6352436447
84	0.6345242691
85	0.6337186432
86	0.6329856491
87	0.6323735809
88	0.6316323853
89	0.6309855652
90	0.6304001617
91	0.6299915695
92	0.6289831161
93	0.6280426788
94	0.6271092987
95	0.6265123749
96	0.6254964447
97	0.624420166
98	0.6236141968
99	0.6227903366
100	0.6223035431
101	0.6215412521
102	0.6209069824
103	0.6202570343
104	0.6197943878
105	0.618790741
106	0.618078804
107	0.6175753021
108	0.6170391464
109	0.6165847778
110	0.6165820694
111	0.6158411407
112	0.6152963257
113	0.6147144318
114	0.6139142609
115	0.6132458115
116	0.6125739288
117	0.6118979645
118	0.6115712738
119	0.6108982468
120	0.6105211639
121	0.6100034332
122	0.6096334839
123	0.6089875031
124	0.608427887
125	0.6075915146
126	0.6071326447
127	0.6066907883
128	0.6059431458
129	0.6052442932
130	0.6045608139
131	0.6039378357
132	0.6030519867
133	0.6024491882
134	0.6018674469
135	0.6012239456
136	0.6009886169
137	0.6002864838
138	0.5998638916
139	0.5993670654
140	0.5987902069
141	0.5981332397
142	0.597442131
143	0.5969690704
144	0.5964334488
145	0.5958400345
146	0.595578537
147	0.5951344299
148	0.5944815826
149	0.5939245605
150	0.5933707047
151	0.5927089691
152	0.5923068237
153	0.5914070892
154	0.5910739136
155	0.5908244324
156	0.5902293777
157	0.589472847
158	0.5887832642
159	0.588107605
160	0.5875601196
161	0.5871956635
162	0.5867037964
163	0.5863545609
164	0.5859648514
165	0.5855908585
166	0.5850746918
167	0.5845674133
168	0.584226532
169	0.5834548187
170	0.5828289795
171	0.5825089645
172	0.5814608383
173	0.5808451843
174	0.5804181671
175	0.5799272537
176	0.5790408325
177	0.5787259293
178	0.5781879044
179	0.5776431274
180	0.5768545532
181	0.576346283
182	0.5760590363
183	0.5754704285
184	0.5750022888
185	0.5745623016
186	0.5741297913
187	0.5737346649
188	0.5731320953
189	0.5725344849
190	0.5718437195
191	0.5710860062
192	0.5705202484
193	0.570081749
194	0.5696070862
195	0.5688674164
196	0.5684196472
197	0.5680302429
198	0.5674804688
199	0.5668766022
200	0.5661186981
201	0.5654941177
202	0.5650115204
203	0.564667511
204	0.5642272186
205	0.5636377716
206	0.5633678818
207	0.5629689407
208	0.5626166153
209	0.5619774628
210	0.5614266205
211	0.5609110641
212	0.5604447174
213	0.5601371002
214	0.5597012711
215	0.5591800308
216	0.5587628937
217	0.5581667328
218	0.5578232574
219	0.5572930908
220	0.5568286514
221	0.5562041473
222	0.5558002472
223	0.5555113602
224	0.5550412369
225	0.5546680069
226	0.5543393326
227	0.5541107178
228	0.5535612488
229	0.5529485321
230	0.5524478149
231	0.552232132
232	0.5515672302
233	0.5510535049
234	0.5505269623
235	0.5502397156
236	0.5498562241
237	0.5492972183
238	0.548993454
239	0.5487332153
240	0.5481482697
241	0.5474598694
242	0.5467921448
243	0.5460923386
244	0.5455358124
245	0.5449269867
246	0.5445534897
247	0.5442975616
248	0.5438683319
249	0.543365593
250	0.5428533173
251	0.5425611496
252	0.5418942261
253	0.5416476059
254	0.5414663696
255	0.5410204697
256	0.5405773926
257	0.5400331116
258	0.5395645905
259	0.5391102219
260	0.5386464691
261	0.5382225037
262	0.5379178238
263	0.5374465179
264	0.5369678497
265	0.5365730286
266	0.5361140823
267	0.5356428528
268	0.5356100082
269	0.5353185654
270	0.5347080612
271	0.5344330597
272	0.5340970612
273	0.5336986923
274	0.5331316757
275	0.5325574875
276	0.5319541168
277	0.531817627
278	0.531318512
279	0.5309291077
