iter	Passed	Remaining
0	159	159060
1	160	80260
2	165	54903
3	166	41521
4	168	33485
5	169	28116
6	171	24288
7	173	21470
8	174	19234
9	176	17434
10	178	16066
11	180	14862
12	181	13816
13	183	12917
14	184	12136
15	186	11462
16	187	10868
17	190	10399
18	192	9923
19	197	9669
20	198	9275
21	200	8917
22	203	8641
23	205	8364
24	208	8120
25	210	7904
26	212	7664
27	214	7454
28	216	7246
29	217	7046
30	220	6888
31	221	6711
32	223	6548
33	226	6449
34	228	6304
35	230	6163
36	231	6033
37	233	5906
38	235	5797
39	236	5683
40	238	5573
41	241	5518
42	243	5421
43	245	5324
44	246	5234
45	247	5134
46	249	5061
47	251	4981
48	252	4904
49	254	4839
50	257	4789
51	259	4725
52	261	4666
53	262	4602
54	264	4548
55	266	4487
56	267	4427
57	269	4380
58	272	4339
59	273	4290
60	275	4242
61	277	4191
62	279	4157
63	281	4110
64	282	4065
65	285	4034
66	288	4013
67	290	3981
68	292	3941
69	294	3913
70	296	3873
71	297	3834
72	300	3809
73	301	3772
74	305	3762
75	306	3729
76	309	3709
77	311	3676
78	312	3644
79	315	3627
80	317	3596
81	319	3577
82	322	3561
83	324	3535
84	325	3506
85	327	3485
86	329	3457
87	330	3429
88	332	3402
89	334	3379
90	337	3367
91	339	3351
92	341	3326
93	343	3306
94	344	3282
95	346	3258
96	347	3234
97	349	3213
98	351	3196
99	354	3189
100	355	3168
101	357	3146
102	359	3132
103	361	3111
104	362	3091
105	365	3082
106	369	3085
107	372	3077
108	374	3059
109	375	3041
110	377	3024
111	379	3012
112	381	2995
113	384	2990
114	386	2974
115	389	2964
116	390	2947
117	392	2932
118	394	2921
119	396	2905
120	397	2889
121	408	2938
122	409	2921
123	411	2904
124	412	2887
125	413	2871
126	416	2865
127	418	2850
128	419	2834
129	421	2819
130	422	2805
131	424	2790
132	426	2780
133	428	2766
134	429	2752
135	432	2750
136	434	2737
137	436	2728
138	438	2714
139	439	2701
140	442	2693
141	443	2679
142	444	2666
143	448	2665
144	450	2654
145	451	2641
146	453	2629
147	454	2617
148	456	2609
149	458	2598
150	459	2585
151	462	2578
152	464	2574
153	466	2563
154	468	2552
155	469	2540
156	470	2528
157	472	2517
158	473	2505
159	475	2495
160	476	2484
161	478	2473
162	480	2467
163	482	2458
164	483	2448
165	485	2439
166	487	2431
167	489	2422
168	491	2417
169	493	2408
170	497	2413
171	499	2404
172	501	2395
173	503	2392
174	506	2386
175	509	2384
176	513	2387
177	516	2385
178	518	2377
179	519	2368
180	521	2359
181	522	2350
182	525	2345
183	527	2340
184	529	2332
185	530	2323
186	532	2314
187	533	2305
188	535	2296
189	536	2288
190	538	2279
191	539	2270
192	541	2262
193	543	2258
194	546	2254
195	547	2247
196	550	2242
197	551	2234
198	553	2226
199	555	2221
200	557	2214
201	559	2211
202	561	2206
203	563	2198
204	566	2195
205	567	2187
206	569	2181
207	571	2174
208	573	2168
209	576	2169
210	578	2162
211	580	2156
212	582	2151
213	583	2144
214	585	2136
215	586	2129
216	589	2126
217	591	2121
218	593	2115
219	594	2108
220	596	2101
221	597	2094
222	599	2087
223	600	2080
224	602	2076
225	606	2076
226	608	2073
227	610	2066
228	611	2059
229	614	2056
230	615	2050
231	617	2044
232	620	2041
233	622	2036
234	624	2032
235	626	2026
236	628	2023
237	629	2016
238	631	2010
239	633	2007
240	636	2004
